Node,Label,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Community,Frequency,Disaster_Ratio
#abstorm,#abstorm,12,0.006233766233766234,0.0009129544991614084,0.0467232976666939,3.8398217657593164e-11,0.0013699678988156449,4,9,1.0
#whitehouse,#whitehouse,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#apocalypse,#apocalypse,12,0.006233766233766234,1.7334017334017333e-05,0.0067324675324675325,1.890806025216943e-26,0.0010669882580352109,10,3,0.3333333333333333
#au,#au,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#obama,#obama,12,0.006233766233766234,0.00418628233726596,0.07830995427622273,0.010975252838051274,0.0007672364593764957,0,2,1.0
#cameroon,#cameroon,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#es,#es,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#de,#de,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#jp,#jp,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#nigeria,#nigeria,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#fr,#fr,12,0.006233766233766234,2.1600021600021602e-06,0.07295257933555806,0.001257051317364529,0.0007720213016570401,2,1,1.0
#ap,#ap,11,0.005714285714285714,0.0,0.08285134939410033,0.05595718616966016,0.0013943981492671998,1,3,1.0
#tdp,#tdp,11,0.005714285714285714,0.0,0.08285134939410033,0.0711575388676598,0.0015593515441245888,1,3,1.0
#trs,#trs,11,0.005714285714285714,0.0,0.08285134939410033,0.0711575388676598,0.0015593515441245888,1,3,1.0
#abc,#abc,11,0.005714285714285714,0.005138653096403299,0.08422907402499238,0.016254394632489448,0.000675990543067688,1,2,1.0
#sinjar,#sinjar,11,0.005714285714285714,0.0014087264087264085,0.05620936440608572,1.4273436821868342e-06,0.0012106650819546177,13,3,1.0
#bjp,#bjp,11,0.005714285714285714,0.0,0.08285134939410033,0.0711575388676598,0.0015593515441245888,1,3,1.0
#nri,#nri,11,0.005714285714285714,0.0,0.08285134939410033,0.05595718616966016,0.0013943981492671998,1,3,1.0
#wildfire,#wildfire,11,0.005714285714285714,0.003699118558803376,0.0709777483662834,2.0979965210762546e-05,0.0012374682828091609,4,8,1.0
#rtrrt,#rtrrt,11,0.005714285714285714,5.4000054000053996e-08,0.006233766233766234,1.8860969318252277e-26,0.0009209109628668204,10,2,0.0
#voodoo,#voodoo,11,0.005714285714285714,5.4000054000053996e-08,0.006233766233766234,1.8860969318252277e-26,0.0009209109628668204,10,2,0.0
#romance,#romance,11,0.005714285714285714,5.4000054000053996e-08,0.006233766233766234,1.8860969318252277e-26,0.0009209109628668204,10,2,0.0
#truelove,#truelove,11,0.005714285714285714,5.4000054000053996e-08,0.006233766233766234,1.8860969318252277e-26,0.0009209109628668204,10,2,0.0
#astrology,#astrology,11,0.005714285714285714,5.4000054000053996e-08,0.006233766233766234,1.8860969318252277e-26,0.0009209109628668204,10,2,0.0
#seduction,#seduction,11,0.005714285714285714,5.4000054000053996e-08,0.006233766233766234,1.8860969318252277e-26,0.0009209109628668204,10,2,0.0
#puppy,#puppy,11,0.005714285714285714,0.0010562410562410562,0.0623412950685678,1.2658834643448283e-07,0.001091275541839831,4,2,0.0
#usgs,#usgs,11,0.005714285714285714,0.000707940707940708,0.07125004151858372,0.0054956562884173514,0.0011273995274068156,2,5,0.8
#aircraft,#aircraft,11,0.005714285714285714,0.000573300573300583,0.05633724213097317,1.5384856874106962e-06,0.0009836017496010242,7,2,1.0
#sex,#sex,11,0.005714285714285714,0.0007076707076707075,0.04869349571119289,2.6587969219957334e-06,0.001140569107694111,5,3,0.0
#lotz,#lotz,11,0.005714285714285714,5.4000054000053996e-08,0.006233766233766234,1.8860969318252277e-26,0.0009209109628668204,10,2,0.0
#ts,#ts,11,0.005714285714285714,0.0,0.08285134939410033,0.05595718616966016,0.0013943981492671998,1,3,1.0
#radio,#radio,10,0.005194805194805195,0.005494352494352471,0.08172722034108172,0.005316528396696911,0.001204343104590995,9,4,0.25
#rip,#rip,10,0.005194805194805195,0.0010566190566190566,0.04858734028125788,5.322311869269111e-08,0.0008946801360000761,7,2,1.0
#crash,#crash,10,0.005194805194805195,0.007520317520317519,0.06696818806193806,8.941345334235063e-05,0.0009512951753151167,7,2,1.0
#money,#money,10,0.005194805194805195,0.0014061614061614061,0.056494329498131775,1.5601313624628653e-06,0.0011959144257916315,6,2,0.0
#seattle,#seattle,10,0.005194805194805195,1.874609566917259e-05,0.05608206589585552,1.1308216203685649e-07,0.001319847659952878,3,8,0.375
#fashion,#fashion,10,0.005194805194805195,2.2680022680022678e-05,0.005238095238095238,9.797173974099882e-30,0.0016116147260119861,15,9,0.0
#winter,#winter,10,0.005194805194805195,0.002043694209135588,0.06727139446728943,4.936973107454864e-06,0.00108121046667757,8,3,0.3333333333333333
#world,#world,10,0.005194805194805195,0.004195264195264195,0.08092597308283583,0.015943540221422036,0.0018818112829467072,14,11,0.8181818181818182
#refugees,#refugees,10,0.005194805194805195,0.002839612716426998,0.07828244814546184,0.00010824868977040845,0.0011467231798938274,0,5,0.6
#1008planet,#1008planet,10,0.005194805194805195,2.232002232002232e-05,0.00601113172541744,9.899885508969455e-27,0.0005070352852032777,10,1,0.0
#1008pla,#1008pla,10,0.005194805194805195,2.232002232002232e-05,0.00601113172541744,9.899885508969455e-27,0.0005070352852032777,10,1,0.0
#alberta,#alberta,10,0.005194805194805195,4.542152325403557e-06,0.046703715396087565,6.389606090935736e-11,0.000884646944056708,4,2,1.0
#sinkhole,#sinkhole,10,0.005194805194805195,0.0003553203553203553,0.07122727065200699,0.005483909669136011,0.0008532293603480507,2,2,0.5
#guardian,#guardian,10,0.005194805194805195,2.6460026460026462e-05,0.07878053371160476,0.00021484066473009494,0.0011842720352805672,0,2,1.0
#irandeal,#irandeal,9,0.004675324675324675,0.0009425154838688645,0.07362739671956718,0.005960373391951085,0.0007896025727803844,1,9,0.4444444444444444
#wpo,#wpo,9,0.004675324675324675,1.3098227383941662e-06,0.0727858033540594,0.010947717593846652,0.0005332463509371028,1,1,1.0
#sto,#sto,9,0.004675324675324675,0.00012537327315652279,0.04669393041486065,3.461797292056263e-11,0.0007117544534488484,4,1,1.0
#wsj,#wsj,9,0.004675324675324675,1.3098227383941662e-06,0.0727858033540594,0.010947717593846652,0.0005332463509371028,1,1,1.0
#hiring,#hiring,9,0.004675324675324675,0.0005761239222777641,0.056067957200032666,5.6075523996755155e-08,0.001192148267200608,3,11,0.0909090909090909
#tech,#tech,9,0.004675324675324675,0.003151983151983152,0.08083791435260423,0.005494715513190197,0.0015197996269680463,16,6,0.5
#lies,#lies,9,0.004675324675324675,0.0,0.08248339373431897,0.3031284766990739,0.0023195808500561985,1,7,0.5714285714285714
#hail,#hail,9,0.004675324675324675,0.00012537327315652279,0.04669393041486065,3.461797292056263e-11,0.0007117544534488483,4,2,0.5
#phoenix,#phoenix,9,0.004675324675324675,0.0010573210573210571,0.056195191596099314,1.5695735747055078e-06,0.001407431667690612,13,5,0.8
#nursing,#nursing,9,0.004675324675324675,0.0004982971521432987,0.056067957200032666,7.612777962765423e-08,0.0014112208239261661,3,8,0.25
#listen,#listen,9,0.004675324675324675,0.0002272502272502239,0.06676756437091967,9.499646770999374e-05,0.0012822617278223712,9,4,0.25
#truth,#truth,9,0.004675324675324675,0.0,0.08248339373431897,0.3031284766990739,0.0023195808500561985,1,7,0.5714285714285714
#god,#god,9,0.004675324675324675,0.0,0.08248339373431897,0.3031284766990739,0.0023195808500561985,1,7,0.5714285714285714
#kindle,#kindle,9,0.004675324675324675,0.0012328212328212326,0.05596939474387993,7.171835270515604e-08,0.0013402884128004453,5,6,0.0
#thunderstorm,#thunderstorm,9,0.004675324675324675,0.0014061614061614061,0.04942783984700152,7.403747674014565e-11,0.0012321490298650946,11,3,1.0
#quran,#quran,9,0.004675324675324675,0.0,0.08248339373431897,0.3031284766990739,0.0023195808500561985,1,7,0.5714285714285714
#clinton,#clinton,9,0.004675324675324675,1.3098227383941662e-06,0.0727858033540594,0.010947717593846652,0.0005332463509371028,1,1,1.0
#emsc,#emsc,9,0.004675324675324675,2.1600021600021602e-06,0.07120451433550475,0.005482607588190876,0.0007109097763709739,2,1,1.0
#cbs,#cbs,9,0.004675324675324675,1.3098227383941662e-06,0.0727858033540594,0.010947717593846652,0.0005332463509371028,1,1,1.0
#bush,#bush,9,0.004675324675324675,1.3098227383941662e-06,0.0727858033540594,0.010947717593846652,0.0005332463509371028,1,1,1.0
#captureyyc,#captureyyc,9,0.004675324675324675,0.00012537327315652279,0.04669393041486065,3.461797292056263e-11,0.0007117544534488484,4,1,1.0
#yycweather,#yycweather,9,0.004675324675324675,0.00012537327315652279,0.04669393041486065,3.461797292056263e-11,0.0007117544534488484,4,1,1.0
#haildamage,#haildamage,9,0.004675324675324675,0.00012537327315652279,0.04669393041486065,3.461797292056263e-11,0.0007117544534488484,4,1,1.0
#israel,#israel,9,0.004675324675324675,0.0020525494746273945,0.06461876772111623,1.4795617417127696e-05,0.0012938101541929488,0,3,0.6666666666666666
#nsfw,#nsfw,9,0.004675324675324675,0.0017550017550017549,0.04280202225276165,0.0001389316016116532,0.0008130105575217846,5,4,0.0
#preparedness,#preparedness,8,0.004155844155844156,0.002109242109242109,0.05689816948433237,3.927913923464799e-06,0.0016231625647841763,12,5,0.6
#denver,#denver,8,0.004155844155844156,0.0019822135591366567,0.056039761093821944,2.7713793840890873e-08,0.0009228136766871332,3,4,0.5
#iraq,#iraq,8,0.004155844155844156,0.00035518535518535514,0.05616686740678676,1.4252334636098346e-06,0.0007974350169642994,13,2,1.0
#forex,#forex,8,0.004155844155844156,0.00017631017631017628,0.05645140067632469,1.5597250230607383e-06,0.0009018431131387804,6,2,0.0
#southdowns,#southdowns,8,0.004155844155844156,0.0,0.06580163267497191,3.6903671512993637e-06,0.0009377633008089916,8,2,0.5
#reuters,#reuters,8,0.004155844155844156,0.0017862066630209515,0.07861380242332623,0.00011000844308798759,0.0008276498520778386,0,3,1.0
#mh370,#mh370,8,0.004155844155844156,0.009559483993549944,0.08190743471890109,0.005481111463354109,0.0009324224485566319,7,7,1.0
#photo,#photo,8,0.004155844155844156,0.0,0.06580163267497191,3.7647209685237005e-06,0.0009995191870780025,8,3,0.3333333333333333
#rescued,#rescued,8,0.004155844155844156,0.0,0.06228902455844882,1.2649528620104523e-07,0.0007337709781568508,4,1,0.0
#pitmix,#pitmix,8,0.004155844155844156,0.0,0.06228902455844882,1.2649528620104523e-07,0.0007337709781568508,4,1,0.0
#summervibes,#summervibes,8,0.004155844155844156,0.0,0.06228902455844882,1.2649528620104523e-07,0.0007337709781568508,4,1,0.0
#brixton,#brixton,8,0.004155844155844156,0.0,0.06228902455844882,1.2649528620104523e-07,0.0007337709781568508,4,1,0.0
#mybabies,#mybabies,8,0.004155844155844156,0.0,0.06228902455844882,1.2649528620104523e-07,0.0007337709781568508,4,1,0.0
#banksy,#banksy,8,0.004155844155844156,0.0,0.06228902455844882,1.2649528620104523e-07,0.0007337709781568508,4,1,0.0
#happy,#happy,8,0.004155844155844156,0.0,0.06228902455844882,1.2649528620104523e-07,0.0007337709781568508,4,1,0.0
#trading,#trading,8,0.004155844155844156,0.00017631017631017628,0.05645140067632469,1.5597250230607383e-06,0.0009018431131387804,6,2,0.0
#tree,#tree,8,0.004155844155844156,0.0,0.06580163267497191,3.7647209685237005e-06,0.0009995191870780025,8,2,0.5
#treeporn,#treeporn,8,0.004155844155844156,0.0,0.06580163267497191,3.7647209685237005e-06,0.0009995191870780025,8,2,0.5
#treescape,#treescape,8,0.004155844155844156,0.0023505676689165094,0.06580163267497191,1.925867098764615e-06,0.0005762570968862524,8,1,0.0
#hampshire,#hampshire,8,0.004155844155844156,0.0,0.06580163267497191,3.6903671512993637e-06,0.0009377633008089916,8,2,0.5
#nature,#nature,8,0.004155844155844156,0.0017566892770665967,0.05616686740678676,2.6111547435532826e-09,0.0009297318026786567,11,2,1.0
#newyork,#newyork,8,0.004155844155844156,0.0051860301860301855,0.06694807145392907,8.263333674173025e-05,0.0007452428208459471,13,5,1.0
#entrepreneur,#entrepreneur,8,0.004155844155844156,0.010445770445770445,0.08211869191972361,0.005479834776140558,0.0008346419398200956,6,2,0.5
#fukushima,#fukushima,7,0.0036363636363636364,0.0014346464346464344,0.07519235150814098,0.0002779053949780122,0.0012864555588149753,0,9,0.8888888888888888
#gbbo,#gbbo,7,0.0036363636363636364,0.0017598617598617596,0.06486325083531137,1.8133573025306545e-06,0.001480169520788684,0,18,0.2222222222222222
#failure,#failure,7,0.0036363636363636364,0.0014330463098605993,0.07858608246478486,0.00010998232305571254,0.0006732883026050497,0,1,1.0
#music,#music,7,0.0036363636363636364,0.0017550017550017549,0.055440330813465145,6.025390806896353e-08,0.000810448835245727,8,2,0.0
#lol,#lol,7,0.0036363636363636364,0.0,0.04270360794599154,9.319877422266041e-08,0.0006722891126686327,5,2,0.5
#annonymous,#annonymous,7,0.0036363636363636364,0.0014330463098605993,0.07858608246478486,0.00010998232305571254,0.0006732883026050497,0,1,1.0
#iran,#iran,7,0.0036363636363636364,0.000745406496160383,0.07792661883570974,0.0011811803331073295,0.000669189454964843,0,3,1.0
#yazidis,#yazidis,7,0.0036363636363636364,2.025002025002025e-06,0.056152716016661594,1.424895061001604e-06,0.0006458953471981734,13,2,1.0
#investing,#investing,7,0.0036363636363636364,0.0,0.05643710556346667,1.558984351403213e-06,0.000778668804368106,6,1,0.0
#hiphop,#hiphop,7,0.0036363636363636364,0.0017550017550017549,0.08054576431880371,0.005393394092530018,0.0007923683347924531,22,2,0.5
#nv,#nv,7,0.0036363636363636364,0.004336886963804547,0.0715933600610761,2.0960902528890083e-05,0.0007548935405385447,4,2,1.0
#turbojet,#turbojet,7,0.0036363636363636364,1.0800010800010799e-07,0.048555583849701496,5.318267582564404e-08,0.0006113626133506234,7,1,1.0
#boing,#boing,7,0.0036363636363636364,1.0800010800010799e-07,0.048555583849701496,5.318267582564404e-08,0.0006113626133506234,7,1,1.0
#g90,#g90,7,0.0036363636363636364,1.0800010800010799e-07,0.048555583849701496,5.318267582564404e-08,0.0006113626133506234,7,1,1.0
#casper,#casper,7,0.0036363636363636364,0.0,0.056152716016661594,1.5688502564619363e-06,0.0010991943591833935,13,3,1.0
#atlanta,#atlanta,7,0.0036363636363636364,0.0,0.056152716016661594,1.5688502564619363e-06,0.0010991943591833935,13,3,1.0
#summertime,#summertime,7,0.0036363636363636364,0.0,0.05357455044955045,2.455996986560269e-08,0.0007242005099798901,3,1,1.0
#bioterrorism,#bioterrorism,7,0.0036363636363636364,9.180009180009178e-06,0.0036363636363636364,2.378650269099181e-58,0.001650403865025776,18,4,0.75
#firetruck,#firetruck,7,0.0036363636363636364,0.0,0.05357455044955045,2.4559969865602685e-08,0.0007242005099798901,3,1,1.0
#firemen,#firemen,7,0.0036363636363636364,0.0,0.05357455044955045,2.4559969865602685e-08,0.0007242005099798901,3,1,1.0
#miami,#miami,7,0.0036363636363636364,0.0,0.056152716016661594,1.5688502564619363e-06,0.0010991943591833935,13,3,1.0
#sirens,#sirens,7,0.0036363636363636364,0.0,0.05357455044955045,2.455996986560269e-08,0.0007242005099798901,3,1,1.0
#911,#911,7,0.0036363636363636364,0.0,0.05357455044955045,2.455996986560269e-08,0.0007242005099798901,3,1,1.0
#gold,#gold,7,0.0036363636363636364,0.0,0.05643710556346667,1.558984351403213e-06,0.0007786688043681061,6,1,0.0
#flooding,#flooding,7,0.0036363636363636364,0.0021054621054621054,0.05662350860521592,1.3829520142887238e-05,0.0012053312952070086,17,4,0.75
#vancouver,#vancouver,7,0.0036363636363636364,0.006233285560418962,0.06541535951574108,1.382476123277654e-07,0.0009898540159326398,3,3,0.3333333333333333
#freaky,#freaky,7,0.0036363636363636364,2.7000027000027e-07,0.04852386890270626,7.777345963478702e-08,0.0005987276861119343,7,1,1.0
#man,#man,7,0.0036363636363636364,2.7000027000027e-07,0.04852386890270626,7.7773459634787e-08,0.0005987276861119343,7,1,1.0
#airport,#airport,7,0.0036363636363636364,2.7000027000027e-07,0.04852386890270626,7.7773459634787e-08,0.0005987276861119343,7,1,1.0
#aeroplane,#aeroplane,7,0.0036363636363636364,2.7000027000027e-07,0.04852386890270626,7.777345963478702e-08,0.0005987276861119343,7,1,1.0
#omg,#omg,7,0.0036363636363636364,1.0800010800010799e-07,0.048555583849701496,5.318267582564404e-08,0.0006113626133506234,7,1,1.0
#runway,#runway,7,0.0036363636363636364,2.7000027000027e-07,0.04852386890270626,7.777345963478702e-08,0.0005987276861119343,7,1,1.0
#jetengine,#jetengine,7,0.0036363636363636364,1.0800010800010799e-07,0.048555583849701496,5.318267582564404e-08,0.0006113626133506234,7,1,1.0
#wildfires,#wildfires,7,0.0036363636363636364,0.0017593217593217592,0.064116838282546,1.169357737950943e-07,0.0012987406370540784,3,5,1.0
#silver,#silver,7,0.0036363636363636364,0.0,0.05643710556346667,1.558984351403213e-06,0.0007786688043681061,6,1,0.0
#image,#image,7,0.0036363636363636364,0.0,0.04270360794599154,9.319877422266041e-08,0.0006722891126686327,5,1,1.0
#comedy,#comedy,7,0.0036363636363636364,0.0,0.04270360794599154,9.319877422266041e-08,0.0006722891126686327,5,1,1.0
#funny,#funny,7,0.0036363636363636364,0.0,0.04270360794599154,9.319877422266041e-08,0.0006722891126686327,5,2,0.5
#gif,#gif,7,0.0036363636363636364,0.0,0.04270360794599154,9.319877422266041e-08,0.0006722891126686327,5,1,1.0
#ifunny,#ifunny,7,0.0036363636363636364,0.0,0.04270360794599154,9.319877422266041e-08,0.0006722891126686327,5,1,1.0
#radiation,#radiation,7,0.0036363636363636364,0.005813262997828431,0.07028386309370226,8.51132442632358e-05,0.0008527433736473274,3,2,0.0
#saudi,#saudi,7,0.0036363636363636364,0.001208799156851104,0.07046162816001578,0.000884145158440663,0.0009486861948428803,0,3,1.0
#rescue,#rescue,7,0.0036363636363636364,0.0,0.05357455044955045,2.455996986560269e-08,0.0007242005099798901,3,1,1.0
#natural,#natural,6,0.003116883116883117,0.0005424805304404031,0.06876585309167844,1.2608081481952474e-05,0.0006158919278013311,0,1,1.0
#catsofinstagram,#catsofinstagram,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,23,1,0.0
#wps,#wps,6,0.003116883116883117,0.0014318313086455982,0.07817261658019287,0.00010814340956171416,0.0006001496844468134,0,1,1.0
#shtf,#shtf,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,21,1,0.0
#japanjapan,#japanjapan,6,0.003116883116883117,0.0005424805304404031,0.06876585309167844,1.2608081481952474e-05,0.0006158919278013311,0,1,1.0
#preppertalk,#preppertalk,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,21,1,0.0
#survival,#survival,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,21,1,0.0
#tube,#tube,6,0.003116883116883117,0.0,0.0486297468623456,2.5340355238849157e-06,0.000603232419744022,5,1,0.0
#adult,#adult,6,0.003116883116883117,0.0,0.0486297468623456,2.5340355238849157e-06,0.000603232419744022,5,1,0.0
#katterpì,#katterpì,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,23,1,0.0
#dumle,#dumle,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,23,1,0.0
#summerinsweden,#summerinsweden,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,23,1,0.0
#doomsday,#doomsday,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,21,1,0.0
#katt,#katt,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,23,1,0.0
#dagens,#dagens,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,23,1,0.0
#edm,#edm,6,0.003116883116883117,0.0021027621027621024,0.05642281768864047,3.0875695752837333e-06,0.0009273819096468208,20,8,0.0
#kashmir,#kashmir,6,0.003116883116883117,0.0003531603531603531,0.0681143428698441,0.0011081061467294975,0.0006526488930264811,2,2,1.0
#cutekitten,#cutekitten,6,0.003116883116883117,0.0,0.003116883116883117,6.425499367533891e-49,0.0006738544441392775,23,1,0.0
